"orf19"	"feature"	"common"	"description"	"plate"	"position"	"A_Temp1_UP"	"A_Temp1_DN"	"B_Temp1_UP"	"B_Temp1_DN"	"C_Temp1_UP"	"C_Temp1_DN"	"A_Temp2_UP"	"A_Temp2_DN"	"B_Temp2_UP"	"B_Temp2_DN"	"C_Temp2_UP"	"C_Temp2_DN"	"A_Temp1_DOX_UP"	"A_Temp1_DOX_DN"	"B_Temp1_DOX_UP"	"B_Temp1_DOX_DN"	"C_Temp1_DOX_UP"	"C_Temp1_DOX_DN"	"A_Temp2_DOX_UP"	"A_Temp2_DOX_DN"	"B_Temp2_DOX_UP"	"B_Temp2_DOX_DN"	"C_Temp2_DOX_UP"	"C_Temp2_DOX_DN"	"A_YNB1_UP"	"A_YNB1_DN"	"B_YNB1_UP"	"B_YNB1_DN"	"C_YNB1_UP"	"C_YNB1_DN"	"A_YNB1_DOX_UP"	"A_YNB1_DOX_DN"	"B_YNB1_DOX_UP"	"B_YNB1_DOX_DN"	"C_YNB1_DOX_UP"	"C_YNB1_DOX_DN"	"A_YNB2_UP"	"A_YNB2_DN"	"B_YNB2_UP"	"B_YNB2_DN"	"C_YNB2_UP"	"C_YNB2_DN"	"A_YNB2_DOX_UP"	"A_YNB2_DOX_DN"	"B_YNB2_DOX_UP"	"B_YNB2_DOX_DN"	"C_YNB2_DOX_UP"	"C_YNB2_DOX_DN"	"A_YNB3_UP"	"A_YNB3_DN"	"B_YNB3_UP"	"B_YNB3_DN"	"C_YNB3_UP"	"C_YNB3_DN"	"A_YNB3_DOX_UP"	"A_YNB3_DOX_DN"	"B_YNB3_DOX_UP"	"B_YNB3_DOX_DN"	"C_YNB3_DOX_UP"	"C_YNB3_DOX_DN"	"A_YNB4_UP"	"A_YNB4_DN"	"B_YNB4_UP"	"B_YNB4_DN"	"C_YNB4_UP"	"C_YNB4_DN"	"A_YNB4_DOX_UP"	"A_YNB4_DOX_DN"	"B_YNB4_DOX_UP"	"B_YNB4_DOX_DN"	"C_YNB4_DOX_UP"	"C_YNB4_DOX_DN"	"A_YNB5_UP"	"A_YNB5_DN"	"B_YNB5_UP"	"B_YNB5_DN"	"C_YNB5_UP"	"C_YNB5_DN"	"A_YNB5_DOX_UP"	"A_YNB5_DOX_DN"	"B_YNB5_DOX_UP"	"B_YNB5_DOX_DN"	"C_YNB5_DOX_UP"	"C_YNB5_DOX_DN"
"orf19.3367"	"C4_03410W_A"	"MRPL22"	"Ortholog(s) have structural constituent of ribosome activity and mitochondrial large ribosomal subunit localization"	"Plate 05"	"B05"	413	584	734	947	316	426	162	332	143	288	332	424	36	36	3	14	29	33	43	51	18	15	6	8	465	394	785	514	510	565	68	74	37	24	70	83	721	695	525	722	346	472	66	35	26	21	32	57	300	421	795	941	694	1105	26	67	28	30	20	20	341	466	284	339	425	619	54	78	39	50	45	68	622	761	663	776	429	607	55	27	44	39	33	39
"orf19.3368"	"C4_03420C_A"	""	"Ortholog of Candida albicans WO-1 : CAWG_03466"	"Plate 22"	"C03"	358	798	597	1018	472	853	168	395	291	444	385	672	415	970	326	1141	486	1269	333	626	357	796	250	667	298	402	435	401	344	495	532	669	720	724	428	624	429	494	269	530	609	906	974	1093	499	610	477	724	262	406	654	797	512	1131	503	760	431	708	472	852	415	655	485	720	218	403	461	757	450	821	637	997	436	992	653	988	434	744	578	678	567	746	573	1076
"orf19.3369"	"C4_03430W_A"	"MOH1"	"Ortholog of S. cerevisiae Moh1, essential for staionary phase growth; induced by alpha pheromone in SpiderM medium and by Mnl1 under weak acid stress; possibly essential (UAU1 method); flow model biofilm induced; Spider biofilm induced"	"Plate 21"	"B06"	589	310	1554	706	529	232	684	563	1218	829	829	348	1119	387	595	413	910	527	1275	806	818	440	559	372	1356	454	700	222	1274	310	835	226	1256	371	986	308	904	367	782	385	508	251	899	254	790	288	1027	591	1003	521	481	228	905	529	800	439	820	489	719	500	776	423	791	288	714	342	757	301	653	425	1259	785	948	522	828	378	1051	564	1125	387	1074	560	1307	753
"orf19.3370"	"C4_03440C_A"	"UBP10"	"Protein similar to ubiquitin C-terminal hydrolase; localizes to cell surface of hyphal cells, but not yeast-form cells; repressed upon high-level peroxide; Hap43p-induced; rat catheter biofilm induced"	"GELCPlate 06"	"B11"	298	1248	75	235	463	1226	72	454	160	309	107	268	219	678	194	1151	170	795	187	761	161	685	162	801	205	525	153	207	288	713	413	811	334	547	471	893	109	309	142	465	174	412	390	686	530	1029	281	743	185	457	987	1648	198	838	430	997	320	746	314	856	157	581	284	579	225	482	342	860	324	873	479	1203	192	968	228	752	319	972	364	794	332	783	361	1110
"orf19.3380"	"C4_03510C_A"	""	"GPI-anchored, glycosylated cell wall protein; required for biofilm formation, adhesion, filamentous growth on some media; expressed in hyphae; mutant delayed in virulence; regulated by Efg1, Tup1; similar to Hwp1 and Rbt1 domains"	"GELCPlate 03"	"H05"	388	0	272	0	267	0	164	0	113	0	196	0	1165	0	1404	0	1286	0	916	0	583	0	1351	0	632	0	663	0	813	0	1910	0	1392	0	1438	0	666	0	871	0	604	0	1689	0	1484	0	1148	0	418	0	774	0	620	0	1111	0	1576	0	707	0	537	0	698	0	1198	0	1224	0	1322	0	1367	0	1761	0	1651	0	724	0	1224	0	1414	0	1499	0
"orf19.1327"	"C4_03520C_A"	"RBT1"	"Cell wall protein with similarity to Hwp1; required for virulence; predicted glycosylation; flucozole, Tup1 repressed; farnesol, alpha factor, serum, hyphal and alkaline induced; Rfg1, Rim101-regulated"	"GELCPlate 09"	"C09"	3203	3231	2515	2512	2263	1998	1126	1637	2824	3134	2288	1732	3281	2743	3033	4448	3661	4049	2966	2629	2039	2024	2790	2835	2005	1345	1920	985	2760	1760	2778	1795	3205	1977	2903	2310	2002	1285	1199	1147	1482	1095	2763	2068	2478	1437	2581	2034	1779	1238	1814	1397	1120	1181	2313	1948	2810	2102	2262	2400	1143	778	2689	1698	1628	1321	1848	1603	2261	2132	2734	2444	4131	3952	2609	2355	3535	3002	3799	2491	3791	3201	3241	2956
"orf19.1326"	"C4_03530W_A"	""	"Ortholog of Candida albicans WO-1 : CAWG_03455"	"GELCPlate 09"	"F10"	1194	1632	1239	1497	1484	1618	481	933	314	522	676	798	972	1067	1389	2699	1008	1410	806	1030	885	1233	1158	1590	679	612	629	427	711	582	1099	893	1289	955	1163	1066	756	606	602	1021	1043	1080	1357	1177	870	699	1251	1461	1110	1144	748	703	363	559	939	953	1090	1344	823	1109	794	801	605	621	549	759	978	1351	958	1304	1376	1928	1204	1616	1348	1393	802	1205	1040	949	1083	1112	959	1403
"orf19.1325"	"C4_03540C_A"	""	"Putative gamma-glutamyltransferase; alkaline upregulated; Spider biofilm induced; possibly an essential gene, disruptants not obtained by UAU1 method"	"Plate 21"	"H11"	0	2926	0	3780	0	1833	0	1732	0	2620	0	1829	0	1979	0	5041	0	3329	0	2638	0	1526	0	1924	0	949	0	956	0	561	0	1666	0	795	0	1579	0	995	0	1254	0	977	0	879	0	762	0	1363	0	1495	0	1652	0	1080	0	1838	0	1287	0	1193	0	1265	0	1522	0	1127	0	1071	0	1463	0	1331	0	1196	0	1255	0	1265	0	895	0	1557	0	1563
"orf19.1324"	"C4_03550W_A"	"RAD2"	"Ortholog of S. cerevisiae Rad2, a nucleotide excision repair nuclease; null mutant is extremely sensitive to UV irradiation; transcript induced by interaction with macrophages"	"Plate 17"	"D12"	1616	0	850	0	2311	0	500	0	749	0	1582	0	2202	0	1438	0	2187	0	1623	0	1633	0	874	0	1459	0	2207	0	1277	0	1455	0	2215	0	1444	0	1421	0	1365	0	1302	0	1588	0	1546	0	2190	0	1863	0	1231	0	1258	0	1344	0	1635	0	1690	0	1444	0	1440	0	797	0	1617	0	1244	0	1215	0	2160	0	1800	0	2624	0	1977	0	1803	0	1947	0
"orf19.1323"	"C4_03560W_A"	"APL6"	"Phosphorylated protein of unknown function; Hap43p-repressed gene"	"GELCPlate 09"	"F09"	1595	1587	1009	881	1205	1080	469	582	1034	1155	1030	948	990	768	814	1233	956	1001	522	516	579	650	547	616	804	460	1158	552	1127	835	1020	637	1100	609	995	708	962	675	962	961	667	556	1001	737	893	503	990	926	786	616	1045	814	858	907	957	856	1177	986	1014	1070	1163	1292	1220	1094	782	975	683	752	1011	1008	1004	1133	1149	987	1422	1310	1358	1323	1303	879	1094	1040	1498	1485
"orf19.1317"	"C4_03590C_A"	"OSH3"	"Protein required for wild-type filamentation; has oxysterol binding protein domain and pleckstrin homology motif; overproducton suppresses cph1 homozygous null filamnetation defect; similar to S. cerevisiae Osh3p"	"GELCPlate 09"	"F08"	932	0	411	0	1280	0	281	0	470	0	586	0	1288	0	1119	0	880	0	1141	0	727	0	500	0	660	0	1000	0	942	0	1062	0	1524	0	1165	0	657	0	627	0	653	0	1142	0	1118	0	850	0	973	0	676	0	856	0	865	0	721	0	620	0	852	0	468	0	505	0	878	0	957	0	1199	0	921	0	768	0	1207	0	953	0	1591	0	1182	0
"orf19.1311"	"C4_03670W_A"	"SPO75"	"Ortholog(s) have role in ascospore wall assembly"	"Plate 14"	"G11"	2157	1535	1339	1000	2567	1775	1309	1761	1407	1067	2143	1349	1869	1008	1069	979	1898	1456	2165	1628	1399	1216	1943	1436	1487	592	1207	415	1203	505	1823	472	1692	742	1976	1059	1101	474	500	385	1277	679	2006	633	1322	588	1976	1534	1910	1307	1448	894	1171	1183	1096	881	1588	1269	1419	1343	804	431	1611	725	1215	576	867	333	1098	787	973	632	1583	905	1284	836	1106	742	1863	842	2089	1131	1790	1255
"orf19.1310"	"C4_03680C_A"	"RAD34"	"Ortholog(s) have role in nucleotide-excision repair and nucleus localization"	"Plate 03"	"H09"	346	0	420	0	1348	0	357	0	796	0	902	0	1290	0	786	0	614	0	640	0	695	0	714	0	632	0	750	0	1289	0	1305	0	903	0	908	0	771	0	519	0	384	0	651	0	455	0	719	0	1617	0	873	0	753	0	810	0	951	0	616	0	711	0	839	0	483	0	559	0	514	0	668	0	1369	0	808	0	648	0	744	0	1063	0	750	0
"orf19.1308"	"C4_03700W_A"	"VBA1"	"Predicted membrane transporter, member of the drug:proton antiporter (14 spanner) (DHA2) family, major facilitator superfamily (MFS)"	"Plate 18"	"D06"	2763	2401	2040	1312	1255	1051	1122	1339	794	919	1614	1315	1642	1201	1789	2143	2436	1930	2088	2083	1657	1430	919	907	1047	557	1481	543	1059	726	1841	1063	1804	962	1491	909	1276	825	896	619	1550	1071	1726	1001	1553	834	920	857	1828	1245	1271	927	1140	961	1215	1203	1891	1631	1500	1526	892	852	931	619	930	871	2004	1692	855	757	1632	1679	1754	1299	1176	788	1255	940	1983	985	1809	1201	1765	1489
"orf19.1307"	"C4_03710C_A"	""	"Predicted membrane protein; rat catheter biofilm induced"	"GELCPlate 08"	"H12"	856	875	1333	1395	1077	1159	536	897	1884	2293	1593	1079	1616	1591	1207	1903	1531	1816	1348	1432	631	783	1087	1174	1247	742	1446	657	1039	673	2148	1492	2372	1567	1769	1314	1268	820	915	1031	1229	890	1906	1281	1607	1002	1358	1264	1051	890	1243	1138	830	1003	1722	1581	2075	1908	1522	1383	1764	1622	1348	999	1101	947	1525	1522	1573	1711	1618	1570	1455	1448	1491	1285	1495	1523	1899	1274	2123	1730	2342	2072
"orf19.1301"	"C4_03770W_A"	"TMA17"	"Ortholog(s) have protein binding, bridging activity, role in proteasome regulatory particle assembly and cytoplasm, nucleus, ribosome localization"	"GELCPlate 03"	"B10"	458	0	623	0	605	0	164	0	328	0	805	0	1095	0	602	0	1440	0	865	0	585	0	636	0	483	0	757	0	604	0	820	0	982	0	1670	0	444	0	374	0	1136	0	897	0	692	0	865	0	498	0	838	0	578	0	706	0	748	0	681	0	323	0	553	0	706	0	956	0	795	0	1192	0	718	0	624	0	600	0	836	0	1312	0	1225	0
"orf19.1300"	"C4_03780C_A"	"OMS1"	"Putative mitochondrial membrane protein; homozygous transposon insertion causes decreased colony wrinkling under filamentous growth-inducing conditions, but does not block true hyphal formation in liquid media"	"GELCPlate 08"	"H11"	88	0	42	0	181	0	84	0	53	0	29	0	120	0	106	0	94	0	88	0	48	0	36	0	63	0	177	0	74	0	118	0	224	0	146	0	68	0	80	0	65	0	128	0	131	0	123	0	172	0	111	0	55	0	128	0	141	0	127	0	50	0	89	0	93	0	84	0	98	0	188	0	73	0	89	0	99	0	123	0	181	0	204	0
"orf19.1298"	"C4_03800C_A"	"NUP84"	"Ortholog(s) have structural constituent of nuclear pore activity"	"GELCPlate 06"	"B12"	1028	138	1191	241	2353	313	760	221	980	236	795	169	1307	188	984	211	731	167	865	196	937	167	904	185	877	68	997	69	1186	117	2779	194	3854	351	1290	209	1289	118	973	199	997	137	1631	155	1976	151	1390	311	861	175	1371	221	305	97	1297	299	884	166	1336	348	1268	203	1082	185	310	72	754	76	1174	237	1422	386	1163	159	1820	223	1376	203	1761	166	1572	262	2257	455
"orf19.5037"	"C4_03820C_A"	""	"Protein of unknown function; mutants are viable; rat catheter and Spider biofilm induced"	"Plate 14"	"G12"	1573	1708	1736	1670	3833	3602	1464	1919	1368	1655	2171	2150	2621	2337	2447	3444	1602	1856	1821	2153	1598	1822	2022	2393	1836	1009	1007	429	1369	948	2272	1518	2267	1292	1982	1477	1638	1080	1536	1494	1514	1250	1377	1056	1717	1207	1672	1912	1669	1568	1005	993	1402	1835	1691	1851	1586	1583	1681	1990	835	854	1055	1015	1538	1673	1264	1413	1288	1497	1973	2399	2007	1852	1483	1367	1449	1422	1854	1349	1719	1606	1819	1936
"orf19.5038"	"C4_03830W_A"	"TRM3"	"Predicted tRNA (guanine) methyltransferase activity; Spider biofilm induced"	"Plate 07"	"A01"	2277	2363	2993	2577	3065	2760	1242	1842	1064	1303	1318	1283	4272	3394	2515	3533	2861	3087	2696	2798	2182	2275	3411	3946	2674	1749	2905	1393	2479	1622	3244	2186	2736	1776	3612	2840	2258	1566	1424	1419	1243	1039	2504	1892	1980	1440	2340	2201	2506	1879	2019	1717	1814	1913	2262	2166	3256	2983	3003	3130	1805	1872	1992	1582	1438	1568	2357	2424	2251	2601	2415	2883	2549	2496	3034	2556	2803	2670	2979	2100	3154	2794	2461	2759
"orf19.5043"	"C4_03880W_A"	""	"Ortholog of C. dubliniensis CD36 : Cd36_43610, C. parapsilosis CDC317 : CPAR2_403770, Debaryomyces hansenii CBS767 : DEHA2G16962g and Pichia stipitis Pignal : PICST_30926"	"Plate 22"	"C11"	0	10	0	9	0	11	0	12	0	12	0	11	0	11	0	12	0	12	0	14	0	2	0	5	0	8	0	22	0	12	0	4	0	12	0	11	0	11	0	2	0	7	0	3	0	6	0	11	0	2	0	9	0	4	0	17	0	11	0	16	0	7	0	7	0	7	0	11	0	16	0	11	0	16	0	12	0	6	0	8	0	14	0	13
"orf19.5046"	"C4_03900C_A"	"RAM1"	"Protein that acts in prenylation; transcription is alpha-factor induced; regulated in response to lovastatin and fluconazole; Hap43p-repressed gene"	"GELCPlate 01"	"H08"	1453	1757	2372	2131	1963	1869	1171	1491	865	1040	960	894	2794	2585	1729	2837	1869	2394	1555	1636	1683	1810	1288	1470	1190	865	1505	755	1314	922	2386	1798	2232	1409	2233	1650	1109	779	1305	1233	1034	879	1825	1335	1355	929	1365	1357	1661	1415	1812	1542	1247	1213	2266	2252	1924	1737	1590	1599	1731	1576	1264	1004	1296	1205	1491	1533	1364	1408	1606	1724	1686	1709	1644	1552	1321	1389	1976	1555	1859	1708	2278	2395
"orf19.789.1"	"C4_03930C_A"	"SRP14"	"Ortholog(s) have 7S R binding activity, role in SRP-dependent cotranslatiol protein targeting to membrane, translocation and sigl recognition particle, endoplasmic reticulum targeting localization"	"GELCPlate 09"	"F03"	199	194	831	666	526	457	471	604	316	356	1077	727	429	314	541	766	498	547	371	393	413	356	365	284	565	366	769	311	760	403	590	317	695	379	541	427	709	424	700	735	439	339	902	551	483	301	488	378	1412	1000	922	811	576	506	488	324	1215	838	272	287	525	508	3191	2007	663	476	746	584	296	257	501	540	1080	788	857	635	851	743	436	293	622	348	329	235
"orf19.789"	"C4_03940C_A"	"PYC2"	"Putative pyruvate carboxylase; binds biotin cofactor; repressed by Ssk1 response regulator, by benomyl treatment, or in an azole-resistant strain overexpressing MDR1; stationary phase enriched protein; flow model biofilm repressed"	"Plate 04"	"D06"	317	34	1083	164	1164	116	220	83	354	75	504	86	510	53	385	82	282	41	299	67	380	57	101	21	745	121	858	56	578	47	125	12	195	34	128	8	402	36	944	252	578	79	198	15	130	15	179	31	1084	152	610	81	248	61	112	29	303	57	84	17	477	66	631	51	481	60	93	8	135	21	233	32	599	85	1149	201	567	86	222	22	321	35	243	41
"orf19.5312"	"C4_04000W_A"	"MET4"	"Putative transcription coactivator; predicted role in sulfur amino acid metabolism; required for yeast cell adherence to silicone substrate; Spider biofilm induced"	"GELCPlate 01"	"G01"	1093	1783	321	500	1194	1566	450	868	454	578	284	437	1039	1338	1213	2766	1052	1990	902	1304	1140	1863	1068	1793	588	570	1102	727	560	573	1073	1089	1675	1340	1411	1488	833	724	705	1055	764	873	1404	1233	1376	1191	1262	1738	965	1139	492	591	416	709	1596	2133	1751	2054	1147	2068	1005	1276	1041	1185	641	826	1124	1452	1591	2145	1674	2280	957	1166	1295	1439	839	1205	861	911	1101	1214	1185	1435
"orf19.5307"	"C4_04030W_A"	""	"Dicarboxylic acid transporter; regulated by glucose repression; induced by Rgt1; disruptants not obtained by UAU1 method; rat catheter and Spider biofilm induced"	"Plate 20"	"A06"	1330	0	2212	0	1775	0	614	0	1043	0	957	0	1891	0	1664	0	2930	0	1881	0	1116	0	1530	0	2213	0	1400	0	1808	0	1647	0	1721	0	1697	0	2107	0	699	0	917	0	1234	0	1462	0	1614	0	922	0	1323	0	1149	1	1886	0	2011	1	1558	0	749	0	984	0	976	0	1394	0	1143	0	1581	0	2042	0	1780	1	2010	0	1834	0	2068	3	2112	0
"orf19.5305"	"C4_04050C_A"	"RHD3"	"GPI-anchored yeast-associated cell wall protein; induced in high iron; clade-associated gene expression; not essential for cell wall integrity; flucozole-repressed; flow model and Spider biofilm repressed"	"GELCPlate 09"	"C08"	1261	780	1023	656	1164	671	628	612	450	311	1219	580	878	386	2020	1487	852	440	837	478	999	540	1362	744	1079	385	1329	372	1136	404	1747	708	1293	417	1821	733	1260	407	1122	725	638	236	1455	542	1089	374	1316	737	667	316	535	248	639	458	1246	724	1689	850	1290	829	1171	583	1416	554	817	354	1132	570	1035	634	1573	913	1292	590	1034	571	1079	551	1431	525	2054	915	1585	930
"orf19.5303"	"C4_04070C_A"	""	"GPI-anchored protein of cell wall"	"GELCPlate 03"	"H06"	466	729	282	354	698	886	319	704	694	1215	793	855	723	841	353	749	475	814	456	665	230	357	782	1365	623	453	546	290	590	405	760	715	859	617	899	814	546	499	353	539	580	611	671	599	584	449	567	718	388	373	411	379	286	611	790	941	627	763	429	794	341	434	618	527	446	470	565	737	411	617	521	635	643	797	920	958	671	757	790	732	996	1016	1059	1310
"orf19.5299"	"C4_04100C_A"	"ECM1"	"Putative pre-ribosomal factor; decreased mRNA abundance observed in cyr1 homozygous mutant hyphae; induced by heavy metal (cadmium) stress; Hog1p regulated"	"GELCPlate 07"	"D04"	1108	1296	1110	1034	895	1022	768	980	577	790	420	352	721	650	1351	1966	1017	1180	731	780	759	850	531	670	477	395	1229	617	945	658	1248	852	1697	1041	1418	1155	692	490	459	437	622	555	895	726	984	722	1383	1191	1200	990	837	787	696	751	911	864	1034	1072	893	986	866	915	713	576	828	972	946	1019	932	974	834	874	732	796	561	565	1158	1069	1646	1297	1015	996	1337	1446
"orf19.5297"	"C4_04120C_A"	"TFB1"	"Ortholog(s) have phosphatidylinositol-3-phosphate binding, phosphatidylinositol-5-phosphate binding activity"	"Plate 21"	"G10"	0	79	0	161	0	153	0	93	0	188	0	201	0	0	0	0	0	0	0	0	0	0	0	1	0	130	0	29	0	21	0	0	0	0	0	2	0	17	0	36	0	3	0	0	0	0	0	0	0	113	0	45	0	227	0	0	0	0	0	0	0	85	0	169	0	136	0	0	0	0	0	0	0	124	0	26	0	475	0	0	0	0	0	0
"orf19.5295"	"C4_04140W_A"	""	"Protein with a predicted endonuclease/exonuclease/phosphatase family domain and a carbon catabolite repressor protein 4 domain; induced by alpha pheromone in SpiderM medium"	"Plate 21"	"G02"	2839	2221	2916	1840	3009	1873	1197	1108	845	867	1194	814	2437	1575	2653	2712	1740	1253	1584	1260	1145	877	1297	1102	2098	892	1620	613	1165	641	2489	1251	3204	1387	3349	1804	1903	977	1093	747	865	555	1648	884	1664	869	1664	1270	1025	620	1256	783	934	695	3040	2245	2141	1533	2103	1684	1174	880	1848	1048	855	680	1099	905	1214	914	1432	1203	1743	1121	1384	889	1554	1090	1394	687	1974	1280	1864	1491
"orf19.5294"	"C4_04150C_A"	"PDB1"	"Putative pyruvate dehydrogenase; fluconazole-induced; protein level decreases in stationary phase cultures; Spider biofilm repressed"	"Plate 05"	"A02"	0	636	0	868	0	327	0	740	0	746	0	502	0	42	0	66	0	40	0	40	0	51	0	34	0	906	0	569	0	660	0	70	0	48	0	77	0	372	0	566	0	750	0	102	0	110	0	189	0	647	0	729	0	817	0	98	0	52	0	165	0	749	0	548	0	806	0	120	0	340	0	190	0	1264	0	1168	0	940	0	142	0	178	0	196
"orf19.5293"	"C4_04160W_A"	""	"Ortholog of C. dubliniensis CD36 : Cd36_43710, C. parapsilosis CDC317 : CPAR2_402940, Candida tenuis NRRL Y-1498 : CANTEDRAFT_114940 and Debaryomyces hansenii CBS767 : DEHA2C09196g"	"Plate 22"	"C08"	1531	1605	762	631	2010	1769	789	1005	563	720	1497	1326	1970	1548	1845	2322	1282	1476	1841	1775	449	437	858	809	925	663	775	340	729	480	1079	716	1344	722	1813	1410	1463	898	598	543	738	573	958	640	1533	899	1738	1510	1314	899	1022	773	608	607	1149	1022	2009	1541	844	895	1165	962	1170	779	725	607	976	763	1106	925	1184	1142	2086	1747	1048	752	1455	1193	1430	920	1441	1146	1194	1026
"orf19.5292"	"C4_04170C_A"	"AXL2"	"Ortholog of S. cerevisiae Axl2; a plasma membrane protein involved in determination of budding pattern; O-glycosylated by Pmt4; mutant is viable"	"Plate 13"	"D09"	1612	1524	2439	2185	5766	4956	1244	1810	1976	2178	1052	782	2874	2411	2767	3671	2614	2613	2762	2518	1796	1845	2241	2008	2173	1296	1791	873	3491	2063	3235	2192	2550	1558	3294	2113	2104	1247	1137	1070	1651	1026	2045	1426	2080	1157	1868	1610	1725	1311	1842	1227	1647	1664	2561	2129	2324	1928	2181	2113	1540	1270	1618	1066	1809	1283	1670	1424	2062	1898	1903	1846	2168	1711	2914	2485	2357	1994	2979	1966	2757	2150	2303	2117
"orf19.5291"	"C4_04180C_A"	"SCS3"	"Ortholog(s) have role in phospholipid biosynthetic process and endoplasmic reticulum localization"	"Plate 25"	"C05"	2436	2947	1428	1332	2067	2108	1251	1687	1121	1559	800	817	1410	1340	1428	2279	1487	1798	1525	1924	810	931	1033	1357	943	628	929	495	663	584	1014	708	2019	1319	1660	1343	1422	1130	1161	1219	990	866	1189	1079	1494	1176	1467	1617	1431	1312	801	886	1074	1364	1169	1126	1560	1580	1016	1317	890	818	1282	1088	836	835	967	1060	1016	1167	1708	1795	1637	1348	1365	1336	1483	1591	1329	937	1796	1613	1421	1466
"orf19.1427"	"C4_04230W_A"	"THI73"	"Putative transporter; fungal-specific; Spider biofilm induced"	"Plate 24"	"D07"	2270	1938	1563	1286	1887	1410	548	565	1392	1315	1455	913	4273	2926	2472	2821	2336	1967	1590	1228	1275	1003	2702	2258	1876	1020	1269	464	2225	1061	1836	892	2549	1208	2582	1658	1052	435	1171	931	845	429	1887	1064	2519	1355	2241	1550	2073	1252	1714	1102	849	675	1610	1176	2359	1605	1514	1177	1384	997	1274	772	1436	876	1617	1255	1634	1338	1644	1169	2542	1842	2001	1505	2042	1499	2254	1096	1464	889	1992	1497
"orf19.1422"	"C4_04260C_A"	"FZO1"	"Mitochondrial biogenesis protein; rat catheter and Spider biofilm induced"	"Plate 04"	"B02"	965	1192	1850	1831	1658	1838	1045	1464	1596	2196	1791	1965	150	164	97	214	160	239	183	244	163	178	156	168	1816	1132	2424	1265	2495	1845	335	254	411	245	473	274	1612	1141	1249	1413	1214	1122	190	180	233	153	351	356	1875	1827	3768	3659	994	1287	184	282	269	202	199	243	1620	1626	2089	1713	2205	2136	249	245	280	320	268	344	2017	2005	3218	2837	2546	2654	213	145	328	243	243	206
"orf19.1421"	"C4_04270W_A"	"DAL3"	"Ortholog(s) have ureidoglycolate lyase activity"	"Plate 24"	"A10"	1904	2454	1948	1877	1932	1958	1210	1741	1063	1586	1355	1544	3239	3174	2019	3487	2182	3182	2266	2769	1293	1651	1868	2668	2018	1436	2330	1273	1362	1188	2046	1619	2467	1667	2569	2156	1448	1098	1019	1153	1405	1456	1757	1351	1909	1441	2323	2636	1730	1521	1585	1700	891	1307	1973	2064	2115	2358	1801	2171	1739	1963	2212	1986	1294	1545	1561	1689	1661	2012	1652	1995	2759	3006	1294	1346	2589	2878	2032	1507	2443	2158	2282	2625
"orf19.3846"	"C4_04410C_A"	"LYS4"	"Homoaconitase; regulated by Gcn4, Gcn2; induced in response to amino acid starvation (3-AT); induced by human whole blood or PMNs; Hap43-repressed; flow model and Spider biofilm repressed"	"Plate 23"	"A03"	2309	2760	1946	1945	1922	1967	799	1313	1212	1690	907	941	11	25	12	29	7	12	3	8	6	8	7	6	2009	1459	2443	1351	2282	1633	25	19	40	25	24	13	1679	1193	1381	1663	1279	1050	37	23	10	2	13	15	1898	1629	1626	1478	1252	1531	18	5	5	12	9	27	1420	1389	2712	2125	2062	1954	19	22	18	18	27	24	2635	2725	1848	1832	2468	2782	22	19	11	24	15	25
"orf19.3845"	"C4_04420W_A"	""	"SUMO E3 ligase for Wor1, involved in CO2-mediated white-opaque phenotypic switching; mutations affect filamentous growth; lacks an ortholog in S. cerevisiae"	"GELCPlate 07"	"B08"	330	0	175	0	569	0	180	0	367	0	201	0	1321	0	570	0	2865	0	396	0	816	0	568	0	627	0	888	0	1185	0	971	0	1100	0	1087	0	433	0	298	0	436	0	1064	0	1214	0	1061	0	346	0	704	0	412	0	911	0	1197	0	700	0	1086	0	970	0	790	0	859	0	403	0	1008	0	670	0	703	0	881	0	939	0	1201	0	1236	0
"orf19.3843"	"C4_04440W_A"	"SEC66"	"Ortholog(s) have protein transporter activity, role in filamentous growth, posttranslational protein targeting to membrane, translocation and Sec62/Sec63 complex, cell periphery localization"	"GELCPlate 07"	"F06"	1	1730	1	1266	1	604	0	656	2	1073	0	522	0	902	0	2425	0	1596	0	1012	1	810	0	522	0	603	0	435	1	1609	0	1282	2	1361	1	1268	0	478	0	694	0	623	0	908	1	922	1	1072	0	693	1	1082	0	674	0	1436	0	865	0	1048	1	741	0	1065	0	812	0	1192	1	1005	0	1609	0	1841	1	931	0	991	0	1136	1	1681	1	1313
"orf19.3841"	"C4_04450C_A"	"ATG1"	"Putative protein serine/threonine kinase; predicted role in vesicle formation in autophagy and the cytoplasm-to-vacuole targeting (Cvt) pathway; Spider biofilm induced"	"Plate 17"	"C11"	1698	0	1829	0	1785	0	1088	0	1138	0	680	0	2703	0	1771	0	2238	0	1503	0	1076	0	737	0	1013	0	1875	0	1636	0	1530	0	2470	0	1825	0	571	0	1016	0	1046	0	1599	0	1118	0	1655	0	1561	0	938	0	1026	0	1611	0	1700	0	1317	0	1530	0	1379	0	1191	0	1869	0	1564	0	1876	0	2515	0	1684	0	2170	0	2090	0	2247	0	1837	0
