orf19	names
orf19.2839	CIRT4B
orf19.2842	GZF3
orf19.2844	APL4
orf19.2848	ATG13_S.cer
orf19.2850	ESC1_S.cer
orf19.2852	MRP21_S.cer
orf19.2857	SSL2_S.cer
orf19.2862	RIB1
orf19.2426	YGL101W_S.cer
orf19.2425	HGT18
orf19.2423	ZCF11
orf19.2419	DOM34_S.cer
orf19.2418	orf19.2418
orf19.2416.1	MLC1
orf19.2415	MSE1_S.cer
orf19.2411	SYN8
orf19.2401	ATG4_S.cer
orf19.2400	SQS1_S.cer
orf19.2399	JJJ1_S.cer
orf19.2397	orf19.2397
orf19.2396	IFR2
orf19.2394	YNL134C_S.cer
orf19.2391	YKR023W_S.cer
orf19.2387	ATP25_S.cer
orf19.2385	KTI12
orf19.2384	MTG1
orf19.2378	PKR1_S.cer
orf19.4392	DEM1
orf19.4396	MIC60_S.cer
orf19.4381	VTC3
orf19.4365	orf19.4365
orf19.4366	orf19.4366
orf19.4369	SPP41_S.cer
orf19.4370	orf19.4370
orf19.4371	TAL1
orf19.4372	orf19.4372
orf19.4375	NNT1_S.cer
orf19.4375.1	RPS30
orf19.4376	orf19.4376
orf19.4379	PRP13
orf19.4356	HGT3
orf19.4357	MGR3_S.cer
orf19.467	WOR3
orf19.469	HST7
orf19.470	TAF12_S.cer
orf19.473	TPO4
orf19.477	RRF1_S.cer
orf19.478	MON1_S.cer
orf19.481	GCD1
orf19.494	NAF1_S.cer
orf19.496	MSH1_S.cer
orf19.497	EAF7
orf19.498	NAM9_S.cer
orf19.506	YDJ1
orf19.511	NRK1_S.cer
orf19.517	HAP31
orf19.520	orf19.520
orf19.522	PIM1
orf19.524	orf19.524
orf19.532	RBR2
orf19.535	RBR1
orf19.541	orf19.541
orf19.543	FUM11
orf19.548	CDC10
orf19.550	PDX3
orf19.551	orf19.551
orf19.553	DTR1_S.cer
orf19.1734	INO80_S.cer
orf19.6316	YMR221C_S.cer
orf19.6306	orf19.6306
orf19.6305	GLY1_S.cer
orf19.6302	PGA39
orf19.1804	YDL119C_S.cer
orf19.633	CRG1
orf19.635	orf19.635
orf19.652	YEN1_S.cer
orf19.651	LYP1
orf19.644	HGT9
orf19.643	BIR1_S.cer
orf19.642	orf19.642
orf19.641	ERJ5_S.cer
orf19.639	DXO1_S.cer
orf19.1010	MNT3
orf19.1011	MNN21
orf19.1012	APS1_S.cer
orf19.5285	PST3
orf19.5849	CWT1
orf19.5848	orf19.5848
orf19.5843	SRR1
orf19.6653	MTG2
orf19.6645	HMO1
orf19.6643	MCT1
orf19.6634	VMA2
orf19.6629	ISC1
orf19.6623	ELF1_S.cer
orf19.460	CEK2
orf19.459	ADP1
orf19.457	UBP2_S.cer
orf19.3852	orf19.3852
orf19.3854	SAT4_S.cer
orf19.3870	ADE13
orf19.3874	orf19.3874
orf19.3876	ZCF19
orf19.721	GRC3_S.cer
orf19.720	GST3
orf19.719	HRD1_S.cer
orf19.714	YPT6_S.cer
orf19.713	YMR074C_S.cer
orf19.916	BXI1_S.cer
orf19.696	STE2
orf19.698	ICE2_S.cer
orf19.701	CFL11
orf19.703	CPD1_S.cer
orf19.1857	orf19.1857
orf19.1853	HHT2
orf19.1849	UTP25_S.cer
orf19.1847	ARO10
orf19.1844	orf19.1844
orf19.2370	DSL1
orf19.2363	RDL2_S.cer
orf19.1813	FLC2
orf19.10	ALK8
orf19.11	orf19.11
orf19.734	GLK1
orf19.733	orf19.733
orf19.6152	orf19.6152
orf19.6146	CLG1
orf19.6143	orf19.6143
orf19.6138	orf19.6138
orf19.6134	SEC39_S.cer
orf19.6133	PIF1
orf19.6129	MRPL8
orf19.6127	LPD1
orf19.2622	YPT31
orf19.2626	orf19.2626
orf19.728	TSC11
orf19.6287	AAT21
orf19.1986	ARO2
orf19.1988	CDC45
orf19.3705	PTC6
orf19.3710	YHB5
orf19.3711	orf19.3711
orf19.3715	ASF1
orf19.612	AIM32_S.cer
orf19.606	YLR352W_S.cer
orf19.604	orf19.604
orf19.600	TRK1
orf19.592	YNL092W_S.cer
orf19.6364	VPS21_S.cer
orf19.6377	PPM1_S.cer
orf19.6379	orf19.6379
orf19.6382	BPT1_S.cer
orf19.6385	ACO1
orf19.6387	HSP104
orf19.6398	orf19.6398
orf19.6407	REH1_S.cer
orf19.6416	EOS1_S.cer
orf19.6418	SYO1_S.cer
orf19.6420	PGA13
orf19.6425	SKI2
orf19.6444	NPR3_S.cer
orf19.6448	orf19.6448
orf19.6449	orf19.6449
orf19.7283	orf19.7283
orf19.7292	ARP2
orf19.7295	SCD5_S.cer
orf19.7297	YHR112C_S.cer
orf19.7298	CHS2
orf19.7310	MSC1_S.cer
orf19.7313	SSU1
orf19.7316	orf19.7316
orf19.7319	SUC1
orf19.7320	LIP7
orf19.7322	YPL225W_S.cer
orf19.7324	THI13
orf19.7328	orf19.7328
orf19.7330	PET18_S.cer
orf19.7331	FCY24
orf19.7332	ELF1
orf19.7336	orf19.7336
orf19.7337	orf19.7337
orf19.7339	BGL22
orf19.7342	AXL1
orf19.7344	HDA3_S.cer
orf19.6606	orf19.6606
orf19.6602	COQ9_S.cer
orf19.6596	YJL068C_S.cer
orf19.6595	RTA4
orf19.6594	PLB3
orf19.6592	orf19.6592
orf19.7551	ALO1
orf19.7567	YDR124W_S.cer
orf19.7568	SPS4_S.cer
orf19.7570	UGA3
orf19.7571	UBC4
orf19.7572	SPT7
orf19.7577	MSS51
orf19.7578	YOS9_S.cer
orf19.7585	INO1
orf19.7590	orf19.7590
orf19.7594	orf19.7594
orf19.7597	PGA12
orf19.7598	AHC1_S.cer
orf19.7602	AHA1
orf19.7604	TRS120_S.cer
orf19.7611	TRX1
orf19.7613	HCR1
orf19.7614	orf19.7614
orf19.7619	orf19.7619
orf19.7622	SPT3
orf19.7625	PGA1
orf19.7629	RTC1_S.cer
orf19.7635	DRS1
orf19.7637	YHB4
orf19.7638	PRO1
orf19.7650	LTV1
orf19.7652	CKA1
orf19.7660	VPS52
orf19.7661	HMI1
orf19.7663	CSM1
orf19.7664	YCR087C-A_S.cer
orf19.7665	COX16_S.cer
orf19.7666	orf19.7666
orf19.7668	MAL2
orf19.7672	DFM1_S.cer
orf19.7676	XYL2
orf19.7678	ATP16
