ID	Name	Genes	Length
2625	GO:0042306 regulation of protein import into nucleus	orf19.1212;orf19.1042;orf19.7523;orf19.1760;orf19.2436;orf19.3669;orf19.3856;orf19.4890;orf19.895	9
2626	GO:0042307 positive regulation of protein import into nucleus	orf19.1042;orf19.1760;orf19.2436;orf19.3856;orf19.4890;orf19.895	6
2628	GO:0042316 penicillin metabolic process	orf19.4015;orf19.2886;orf19.5640;orf19.4800;orf19.1411;orf19.3995;orf19.6091	7
2629	GO:0042318 penicillin biosynthetic process	orf19.4015;orf19.2886;orf19.5640;orf19.4800;orf19.1411;orf19.3995;orf19.6091	7
2630	GO:0042325 regulation of phosphorylation	orf19.5338;orf19.5166;orf19.3256;orf19.7186;orf19.3013;orf19.2848;orf19.2983;orf19.418;orf19.5691;orf19.2649;orf19.7047;orf19.1041;orf19.2992;orf19.6225;orf19.778;orf19.3715;orf19.4941;orf19.4681;orf19.191;orf19.6906;orf19.5528;orf19.264;orf19.2538;orf19.1042;orf19.4577;orf19.3071;orf19.5755;orf19.1746;orf19.6028;orf19.7067;orf19.6411;orf19.1409;orf19.3052;orf19.1960;orf19.6044;orf19.3149;orf19.6930;orf19.4614;orf19.403;orf19.4542;orf19.5376;orf19.5224;orf19.2127;orf19.1434;orf19.1446;orf19.387;orf19.4012;orf19.223;orf19.5031;orf19.2014;orf19.5960;orf19.5242;orf19.5827;orf19.3273;orf19.793;orf19.2308;orf19.6936;orf19.6968;orf19.4726;orf19.6146;orf19.328;orf19.245;orf19.5196;orf19.3613;orf19.4867;orf19.895;orf19.567;orf19.4390;orf19.5928;orf19.3207;orf19.2982;orf19.485	72
2631	GO:0042326 negative regulation of phosphorylation	orf19.3256;orf19.778;orf19.4681;orf19.4577;orf19.3149;orf19.6930;orf19.223;orf19.2014;orf19.5960;orf19.3273;orf19.6936;orf19.6968;orf19.4390	13
2632	GO:0042327 positive regulation of phosphorylation	orf19.5338;orf19.5166;orf19.3013;orf19.2848;orf19.2983;orf19.418;orf19.5691;orf19.7047;orf19.1041;orf19.2992;orf19.4941;orf19.191;orf19.6906;orf19.5528;orf19.1042;orf19.1746;orf19.7067;orf19.6411;orf19.1409;orf19.6044;orf19.4614;orf19.4542;orf19.5376;orf19.5224;orf19.2127;orf19.1434;orf19.1446;orf19.5031;orf19.5242;orf19.5827;orf19.4726;orf19.328;orf19.245;orf19.3613;orf19.895;orf19.567;orf19.5928;orf19.2982	38
2634	GO:0042364 water-soluble vitamin biosynthetic process	orf19.163;orf19.4006;orf19.2862;orf19.6057;orf19.4112;orf19.2591;orf19.2590;orf19.277;orf19.6341;orf19.2250;orf19.2364;orf19.2947;orf19.2948;orf19.7306;orf19.6032;orf19.1828;orf19.1110;orf19.410.3;orf19.568;orf19.3291;orf19.7324;orf19.1701;orf19.2593;orf19.5521;orf19.5837;orf19.4024;orf19.6811;orf19.5228;orf19.4960;orf19.3177;orf19.4589;orf19.2446;orf19.550;orf19.2722;orf19.889;orf19.5986;orf19.2587;orf19.4373	38
2637	GO:0042398 cellular modified amino acid biosynthetic process	orf19.163;orf19.4006;orf19.2988;orf19.6057;orf19.4523;orf19.6404;orf19.7131;orf19.6305;orf19.5142;orf19.2250;orf19.2364;orf19.6908;orf19.6032;orf19.568;orf19.3810;orf19.6306;orf19.7534;orf19.3291;orf19.4516;orf19.6045;orf19.5837;orf19.4960;orf19.5059;orf19.579;orf19.4316;orf19.4589;orf19.3954;orf19.2446;orf19.677;orf19.3957	30
2638	GO:0042401 biogenic amine biosynthetic process	orf19.1575;orf19.2250;orf19.3099;orf19.6032;orf19.568;orf19.2546;orf19.4718;orf19.6096;orf19.4960;orf19.5243;orf19.5862	11
2640	GO:0042407 cristae formation	orf19.3757;orf19.5491.1;orf19.5660.1;orf19.3089;orf19.415;orf19.1140;orf19.6062.3;orf19.3782.2;orf19.4396	9
2641	GO:0042430 indole-containing compound metabolic process	orf19.1575;orf19.5809;orf19.3099;orf19.1847;orf19.3515;orf19.2546;orf19.4718;orf19.6096;orf19.5054;orf19.5243;orf19.583;orf19.394;orf19.5443;orf19.2877	14
2642	GO:0042435 indole-containing compound biosynthetic process	orf19.1575;orf19.3099;orf19.2546;orf19.4718;orf19.6096;orf19.5243	6
2645	GO:0042440 pigment metabolic process	orf19.4447;orf19.1742;orf19.3212;orf19.4747;orf19.898;orf19.5811;orf19.3656;orf19.1880;orf19.1744;orf19.6073;orf19.2601;orf19.2803;orf19.4328;orf19.1804;orf19.3167;orf19.6780;orf19.5369;orf19.336	18
2650	GO:0042454 ribonucleoside catabolic process	orf19.6739;orf19.3123.2;orf19.317;orf19.1888;orf19.3911	5
2651	GO:0042455 ribonucleoside biosynthetic process	orf19.2555;orf19.3355;orf19.5591;orf19.6739;orf19.1716	5
2652	GO:0042537 benzene-containing compound metabolic process	orf19.5731;orf19.2046;orf19.1704;orf19.4894;orf19.1291;orf19.583;orf19.1411;orf19.5730;orf19.394;orf19.5443	10
2654	GO:0042542 response to hydrogen peroxide	orf19.971;orf19.7417;orf19.5219;orf19.2473;orf19.6229;orf19.5031;orf19.4754;orf19.518;orf19.5059;orf19.5742	10
2655	GO:0042546 cell wall biogenesis	orf19.3672;orf19.7247;orf19.5557;orf19.1053;orf19.1203.1;orf19.5792;orf19.4600.1;orf19.2886;orf19.906;orf19.6190;orf19.5734;orf19.5032;orf19.4166;orf19.4719;orf19.7523;orf19.6029;orf19.2075;orf19.4772;orf19.896;orf19.3818;orf19.1390;orf19.2334;orf19.5073;orf19.7489;orf19.5101;orf19.3674;orf19.4292;orf19.2638;orf19.5110;orf19.7394;orf19.1989;orf19.5058;orf19.3176;orf19.4865;orf19.5861;orf19.5901;orf19.1813	37
2656	GO:0042558 pteridine-containing compound metabolic process	orf19.1342;orf19.4523;orf19.288;orf19.5142;orf19.2364;orf19.6908;orf19.2079;orf19.3810;orf19.7534;orf19.3291;orf19.4516;orf19.5750;orf19.5837;orf19.579;orf19.3957;orf19.5321	16
2657	GO:0042559 pteridine-containing compound biosynthetic process	orf19.4523;orf19.5142;orf19.2364;orf19.6908;orf19.2079;orf19.3810;orf19.7534;orf19.3291;orf19.4516;orf19.5837;orf19.579;orf19.3957	12
2659	GO:0042593 glucose homeostasis	orf19.6926;orf19.1944;orf19.1760;orf19.2154;orf19.1621;orf19.542;orf19.734;orf19.6116	8
2662	GO:0042710 biofilm formation	orf19.136;orf19.1725;orf19.3642;orf19.798;orf19.4477;orf19.1401;orf19.5908;orf19.2849;orf19.4519;orf19.696;orf19.5437;orf19.2711.1;orf19.3829;orf19.2527;orf19.1035;orf19.723;orf19.2608;orf19.3010.1;orf19.5148;orf19.6824;orf19.3908;orf19.1693;orf19.999;orf19.6781;orf19.4219;orf19.3198;orf19.1718;orf19.5021;orf19.6992;orf19.5542;orf19.508;orf19.2012;orf19.4941;orf19.3414;orf19.3434;orf19.4985;orf19.191;orf19.6182;orf19.4769;orf19.30;orf19.3603;orf19.2164.1;orf19.2475;orf19.2277;orf19.3629;orf19.7069;orf19.3618;orf19.2286;orf19.1816;orf19.7523;orf19.6028;orf19.1760;orf19.1451;orf19.4591;orf19.3794;orf19.4766;orf19.896;orf19.3193;orf19.6044;orf19.1971;orf19.4495;orf19.4565;orf19.2209;orf19.3997;orf19.6812;orf19.2127;orf19.2379;orf19.4998;orf19.6274;orf19.7317;orf19.4767;orf19.7459;orf19.7561;orf19.2356;orf19.3802;orf19.3199;orf19.2990;orf19.1429;orf19.5924;orf19.4062;orf19.3187;orf19.6124;orf19.793;orf19.4969;orf19.4899;orf19.5171;orf19.4109;orf19.6760;orf19.3127;orf19.4884;orf19.5585;orf19.147;orf19.5674;orf19.1097;orf19.3197;orf19.7583;orf19.5636;orf19.4292;orf19.5871;orf19.5887;orf19.3252;orf19.4056;orf19.4670;orf19.7319;orf19.3380;orf19.3548.1;orf19.2568;orf19.5312;orf19.6680;orf19.4433;orf19.1949;orf19.4909;orf19.5741;orf19.5058;orf19.5975;orf19.4225;orf19.4975;orf19.3374;orf19.6387;orf19.6090;orf19.1321;orf19.1358;orf19.2119;orf19.3117;orf19.1936;orf19.5635;orf19.1048;orf19.7114;orf19.610;orf19.10713;orf19.10711;orf19.10710	132
2663	GO:0042723 thiamine-containing compound metabolic process	orf19.4112;orf19.277;orf19.1110;orf19.7324;orf19.889;orf19.5986	6
2664	GO:0042724 thiamine-containing compound biosynthetic process	orf19.4112;orf19.277;orf19.1110;orf19.7324;orf19.889;orf19.5986	6
2666	GO:0042726 flavin-containing compound metabolic process	orf19.2862;orf19.6341;orf19.410.3;orf19.5757;orf19.4024;orf19.5005;orf19.5228;orf19.3177;orf19.4723;orf19.4373	10
2667	GO:0042727 flavin-containing compound biosynthetic process	orf19.2862;orf19.6341;orf19.410.3;orf19.4024;orf19.5228;orf19.3177;orf19.4723;orf19.4373	8
2669	GO:0042743 hydrogen peroxide metabolic process	orf19.7417;orf19.2762;orf19.7611;orf19.6229;orf19.6127;orf19.7398.1;orf19.86;orf19.584;orf19.238	9
2670	GO:0042744 hydrogen peroxide catabolic process	orf19.7417;orf19.2762;orf19.7611;orf19.6229;orf19.7398.1;orf19.86;orf19.584;orf19.238	8
2674	GO:0042761 very long-chain fatty acid biosynthetic process	orf19.6007;orf19.3859;orf19.7043.1;orf19.6343;orf19.5157;orf19.908;orf19.640;orf19.5156	8
2675	GO:0042762 regulation of sulfur metabolic process	orf19.4015;orf19.2045;orf19.829;orf19.2886;orf19.6402;orf19.4800;orf19.4863;orf19.3854;orf19.7046;orf19.5200;orf19.3995;orf19.1757;orf19.6091	13
2676	GO:0042770 signal transduction in response to DNA damage	orf19.4206;orf19.7417;orf19.2326;orf19.820;orf19.4002;orf19.6915;orf19.7402;orf19.366;orf19.1648;orf19.6913;orf19.5335;orf19.658;orf19.4275;orf19.2534;orf19.976;orf19.1434;orf19.5485;orf19.6285;orf19.666;orf19.6936;orf19.7195;orf19.2365;orf19.5580;orf19.245;orf19.3014;orf19.3697;orf19.2728;orf19.1283;orf19.6213	29
2682	GO:0042783 evasion of host immune response	orf19.3111;orf19.1053;orf19.1623;orf19.5148;orf19.3707;orf19.1944;orf19.2062;orf19.3959;orf19.2060;orf19.5031;orf19.5716;orf19.4433;orf19.7374;orf19.4403;orf19.610	15
2684	GO:0042790 nucleolar large rRNA transcription by RNA polymerase I	orf19.6921;orf19.519;orf19.4896;orf19.1589;orf19.718;orf19.2594;orf19.2017;orf19.1839;orf19.4420;orf19.1837;orf19.4502;orf19.2287;orf19.7062	13
2685	GO:0042791 5S class rRNA transcription by RNA polymerase III	orf19.274;orf19.3833;orf19.4601;orf19.6559;orf19.4125;orf19.2325	6
2686	GO:0042797 tRNA transcription by RNA polymerase III	orf19.4537;orf19.2847;orf19.2831;orf19.2715;orf19.172;orf19.6314;orf19.6903;orf19.2687.1;orf19.5608;orf19.3103;orf19.5847;orf19.7255;orf19.3990;orf19.3564;orf19.5360;orf19.6340;orf19.2643;orf19.443	18
2687	GO:0042816 vitamin B6 metabolic process	orf19.2947;orf19.2948;orf19.7306;orf19.1828;orf19.1701;orf19.550	6
2689	GO:0042819 vitamin B6 biosynthetic process	orf19.2947;orf19.2948;orf19.7306;orf19.1828;orf19.1701;orf19.550	6
2698	GO:0042868 antisense RNA metabolic process	orf19.58;orf19.429;orf19.5530;orf19.581;orf19.5651	5
2700	GO:0042886 amide transport	orf19.5535;orf19.5770;orf19.5095;orf19.5859;orf19.313;orf19.6937;orf19.3746;orf19.6976;orf19.6478;orf19.176;orf19.2397;orf19.5121;orf19.5931;orf19.1065;orf19.3749;orf19.309;orf19.7440;orf19.3782;orf19.360;orf19.6883;orf19.5673;orf19.2615;orf19.6532;orf19.781;orf19.2602;orf19.1308;orf19.328;orf19.2179;orf19.6956;orf19.6577;orf19.1317;orf19.2583	32
2702	GO:0042908 xenobiotic transport	orf19.5604;orf19.136;orf19.473;orf19.4737;orf19.2517;orf19.5100;orf19.7554;orf19.4550;orf19.6992;orf19.508;orf19.2158;orf19.3218;orf19.341;orf19.2991;orf19.6691;orf19.7336;orf19.2923;orf19.2073;orf19.3432;orf19.6000;orf19.4546;orf19.4780;orf19.918;orf19.1942;orf19.3395;orf19.1582;orf19.4889;orf19.2350;orf19.553;orf19.4779;orf19.1313;orf19.1357;orf19.1308;orf19.1783;orf19.4118;orf19.304;orf19.2160;orf19.5958;orf19.333;orf19.7148;orf19.6577;orf19.6023;orf19.7648;orf19.5079;orf19.3444	45
2704	GO:0042938 dipeptide transport	orf19.5859;orf19.6937;orf19.309;orf19.6956;orf19.2583	5
2705	GO:0042939 tripeptide transport	orf19.5859;orf19.6937;orf19.6478;orf19.309;orf19.5673;orf19.6956;orf19.2583	7
2707	GO:0042981 regulation of apoptotic process	orf19.7359;orf19.5148;orf19.2948;orf19.6640;orf19.1760;orf19.542;orf19.7365;orf19.2175;orf19.5943.1;orf19.4242;orf19.3014;orf19.339;orf19.6515;orf19.6033	14
2711	GO:0043001 Golgi to plasma membrane protein transport	orf19.953.1;orf19.2410;orf19.1112;orf19.5711;orf19.2297;orf19.4993;orf19.7128;orf19.3199;orf19.1712;orf19.4897;orf19.3683;orf19.2443;orf19.4603;orf19.941;orf19.10711	15
2712	GO:0043007 maintenance of rDNA	orf19.7491;orf19.5934;orf19.5459;orf19.1992;orf19.5042;orf19.5569;orf19.3000;orf19.5041;orf19.1883	9
2713	GO:0043038 amino acid activation	orf19.3956;orf19.3341;orf19.437;orf19.6701;orf19.109;orf19.5685;orf19.1201;orf19.3955;orf19.2387;orf19.1295;orf19.5746;orf19.4299;orf19.5226;orf19.6698;orf19.2984;orf19.3950;orf19.269;orf19.2039;orf19.6533;orf19.6749;orf19.2382;orf19.2415;orf19.2694;orf19.2138;orf19.4931;orf19.2494;orf19.2573;orf19.4051;orf19.2407;orf19.7057;orf19.2532;orf19.2422;orf19.5705;orf19.6702;orf19.7064;orf19.4478;orf19.4092;orf19.2560;orf19.2960	39
2714	GO:0043039 tRNA aminoacylation	orf19.3956;orf19.3341;orf19.437;orf19.6701;orf19.109;orf19.5685;orf19.1201;orf19.3955;orf19.2387;orf19.1295;orf19.5746;orf19.4299;orf19.5226;orf19.6698;orf19.2984;orf19.3950;orf19.269;orf19.2039;orf19.6533;orf19.6749;orf19.2382;orf19.2415;orf19.2694;orf19.2138;orf19.4931;orf19.2494;orf19.2573;orf19.4051;orf19.2407;orf19.7057;orf19.2532;orf19.2422;orf19.5705;orf19.6702;orf19.7064;orf19.4478;orf19.4092;orf19.2560;orf19.2960	39
2718	GO:0043066 negative regulation of apoptotic process	orf19.2948;orf19.6640;orf19.542;orf19.7365;orf19.5943.1;orf19.3014	6
2719	GO:0043067 regulation of programmed cell death	orf19.2040;orf19.7359;orf19.5148;orf19.2948;orf19.6640;orf19.1760;orf19.542;orf19.7365;orf19.2175;orf19.5943.1;orf19.4242;orf19.3014;orf19.2825;orf19.339;orf19.6515;orf19.6033;orf19.6461	17
2720	GO:0043068 positive regulation of programmed cell death	orf19.2040;orf19.5148;orf19.1760;orf19.2175;orf19.4242	5
2721	GO:0043069 negative regulation of programmed cell death	orf19.2948;orf19.6640;orf19.542;orf19.7365;orf19.5943.1;orf19.3014;orf19.2825;orf19.6461	8
2722	GO:0043085 positive regulation of catalytic activity	orf19.4616;orf19.5166;orf19.5954;orf19.3013;orf19.6783;orf19.2848;orf19.418;orf19.316;orf19.478;orf19.5691;orf19.578;orf19.5219;orf19.7079;orf19.906;orf19.1896;orf19.2992;orf19.6926;orf19.4593;orf19.5725;orf19.2400;orf19.191;orf19.5056;orf19.3409;orf19.6901;orf19.3811;orf19.2483;orf19.2084;orf19.1042;orf19.1760;orf19.6411;orf19.1409;orf19.122;orf19.3937;orf19.5004;orf19.285;orf19.6508;orf19.4988;orf19.2406;orf19.5224;orf19.3720;orf19.4657;orf19.7227;orf19.1446;orf19.3705;orf19.6885;orf19.2014;orf19.1836;orf19.5827;orf19.6883;orf19.1649;orf19.5970;orf19.2973;orf19.2771;orf19.7489;orf19.1675;orf19.2213;orf19.4726;orf19.1244;orf19.2422;orf19.3037;orf19.1670;orf19.245;orf19.423;orf19.567;orf19.2949;orf19.5928;orf19.871;orf19.1317;orf19.6822;orf19.2982;orf19.7501;orf19.6376;orf19.7115;orf19.5423;orf19.6624	75
2723	GO:0043086 negative regulation of catalytic activity	orf19.4206;orf19.7250;orf19.5671;orf19.7149;orf19.3256;orf19.7196;orf19.3761;orf19.2340;orf19.778;orf19.4216;orf19.3160;orf19.5487;orf19.1648;orf19.3149;orf19.6930;orf19.7378;orf19.2769;orf19.123;orf19.7227;orf19.223;orf19.2014;orf19.1468;orf19.3356;orf19.4354;orf19.6968;orf19.5833;orf19.3037;orf19.3237;orf19.3014;orf19.4390;orf19.1901;orf19.2242;orf19.5917.3;orf19.2434;orf19.7464	35
2724	GO:0043087 regulation of GTPase activity	orf19.7149;orf19.6536;orf19.6783;orf19.316;orf19.478;orf19.578;orf19.5219;orf19.7079;orf19.906;orf19.6926;orf19.4593;orf19.5725;orf19.1265;orf19.4349;orf19.3409;orf19.3811;orf19.6508;orf19.2290;orf19.2406;orf19.7604;orf19.1468;orf19.1649;orf19.2771;orf19.7489;orf19.1244;orf19.2614;orf19.2949;orf19.871;orf19.940;orf19.7115;orf19.6624	31
2726	GO:0043094 cellular metabolic compound salvage	orf19.7176;orf19.2028;orf19.1575;orf19.5832;orf19.3355;orf19.1495;orf19.4306;orf19.6938;orf19.7611;orf19.891;orf19.6684;orf19.1828;orf19.386;orf19.5591;orf19.6739;orf19.4195.1;orf19.3123.2;orf19.2008;orf19.1460;orf19.1448;orf19.2251;orf19.1357;orf19.5864;orf19.333;orf19.317;orf19.1888;orf19.2306;orf19.7499;orf19.2640	29
2728	GO:0043101 purine-containing compound salvage	orf19.1575;orf19.5832;orf19.3355;orf19.891;orf19.5591;orf19.6739;orf19.1448;orf19.2251	8
2729	GO:0043102 amino acid salvage	orf19.2028;orf19.1495;orf19.4306;orf19.6938;orf19.7611;orf19.386;orf19.2008;orf19.2306	8
2731	GO:0043111 replication fork arrest	orf19.3608;orf19.4105;orf19.4945;orf19.3093;orf19.4136	5
2736	GO:0043137 DNA replication, removal of RNA primer	orf19.6562;orf19.6133;orf19.5182;orf19.3960;orf19.547;orf19.5563;orf19.2465	7
2737	GO:0043144 sno(s)RNA processing	orf19.4168;orf19.5567;orf19.7047;orf19.2404;orf19.5486;orf19.4681;orf19.4582;orf19.275;orf19.1304;orf19.58;orf19.5938;orf19.7067;orf19.7285;orf19.5865;orf19.5067;orf19.2105;orf19.7343;orf19.3796;orf19.168;orf19.4969;orf19.7657;orf19.429;orf19.3197;orf19.1833;orf19.3138;orf19.5530;orf19.581;orf19.3613;orf19.3831;orf19.1029;orf19.1335;orf19.2790;orf19.544	33
2740	GO:0043162 ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	orf19.457;orf19.3628;orf19.7571;orf19.7207;orf19.2131	5
2742	GO:0043171 peptide catabolic process	orf19.5440;orf19.372;orf19.6053;orf19.5159;orf19.5197;orf19.1325;orf19.3915;orf19.2455	8
2743	GO:0043173 nucleotide salvage	orf19.7176;orf19.5832;orf19.891;orf19.6684;orf19.1460;orf19.1448;orf19.317;orf19.1888;orf19.7499	9
2745	GO:0043200 response to amino acid	orf19.418;orf19.814;orf19.4535;orf19.6422;orf19.3142;orf19.6440;orf19.518	7
2746	GO:0043207 response to external biotic stimulus	orf19.6745;orf19.7247;orf19.967;orf19.3111;orf19.1053;orf19.18;orf19.1623;orf19.1779;orf19.5148;orf19.3707;orf19.5542;orf19.6385;orf19.4719;orf19.1944;orf19.1760;orf19.2062;orf19.4980;orf19.3651;orf19.395;orf19.2551;orf19.4755;orf19.6109;orf19.4618;orf19.3997;orf19.3959;orf19.1665;orf19.2060;orf19.1663;orf19.3818;orf19.5714;orf19.5031;orf19.974;orf19.3575;orf19.7292;orf19.6928;orf19.5716;orf19.6367;orf19.3708;orf19.6814;orf19.4433;orf19.6009;orf19.5741;orf19.4975;orf19.7374;orf19.4403;orf19.6001;orf19.610	47
2747	GO:0043242 negative regulation of protein-containing complex disassembly	orf19.6536;orf19.3235;orf19.6621;orf19.3291;orf19.4395;orf19.4927;orf19.2699;orf19.7537;orf19.4597;orf19.1747;orf19.676;orf19.6414.3;orf19.7238	13
2748	GO:0043243 positive regulation of protein-containing complex disassembly	orf19.3235;orf19.505;orf19.5808;orf19.4927;orf19.3705;orf19.6285;orf19.2228;orf19.4597;orf19.3426	9
2749	GO:0043244 regulation of protein-containing complex disassembly	orf19.4537;orf19.2402;orf19.6536;orf19.3838;orf19.3235;orf19.7332;orf19.2760;orf19.7382;orf19.4278;orf19.6621;orf19.505;orf19.5942;orf19.5808;orf19.3291;orf19.4395;orf19.4927;orf19.939;orf19.702;orf19.3705;orf19.2699;orf19.7537;orf19.6285;orf19.2228;orf19.7136;orf19.4597;orf19.3426;orf19.1747;orf19.2215;orf19.676;orf19.6414.3;orf19.5076;orf19.7238	32
2751	GO:0043248 proteasome assembly	orf19.7618;orf19.3593;orf19.1299;orf19.6955;orf19.7264;orf19.3123;orf19.3122.2;orf19.4230;orf19.441;orf19.1331;orf19.5440;orf19.5227;orf19.5260;orf19.4102;orf19.482;orf19.1301;orf19.2182;orf19.6773;orf19.350;orf19.5793;orf19.3140.1;orf19.6604;orf19.5339;orf19.1993;orf19.5961;orf19.2278;orf19.2301;orf19.2233;orf19.6515	29
2752	GO:0043254 regulation of protein-containing complex assembly	orf19.4537;orf19.3593;orf19.3551;orf19.6536;orf19.3235;orf19.3462;orf19.5463;orf19.5395;orf19.4878;orf19.3123;orf19.4084;orf19.2245;orf19.4427;orf19.441;orf19.7353;orf19.5825;orf19.5559;orf19.3409;orf19.1567;orf19.3555;orf19.5584;orf19.505;orf19.7523;orf19.4772;orf19.6848;orf19.3324;orf19.5214;orf19.4542;orf19.3473;orf19.4395;orf19.3599;orf19.482;orf19.4927;orf19.1560;orf19.5618;orf19.2699;orf19.596.2;orf19.7392;orf19.5793;orf19.7537;orf19.3561;orf19.1254;orf19.2228;orf19.6170;orf19.2389;orf19.4502;orf19.7626;orf19.4837;orf19.5008.1;orf19.5196;orf19.4473;orf19.5840;orf19.4597;orf19.6598;orf19.4858;orf19.4997;orf19.2884;orf19.676;orf19.2180;orf19.6414.3;orf19.738;orf19.1220;orf19.1358;orf19.4403;orf19.5076;orf19.7501;orf19.3128;orf19.3871;orf19.6239	69
2753	GO:0043255 regulation of carbohydrate biosynthetic process	orf19.7445;orf19.7417;orf19.6850;orf19.7547;orf19.2204.2;orf19.5131;orf19.6225;orf19.2808;orf19.2277;orf19.1516;orf19.3302;orf19.1007;orf19.5768;orf19.5097;orf19.390;orf19.2843;orf19.6328;orf19.7365;orf19.7489;orf19.3806;orf19.4253;orf19.5849;orf19.4540;orf19.3840;orf19.6846;orf19.7451;orf19.7115;orf19.5901;orf19.1936	29
2754	GO:0043269 regulation of ion transport	orf19.5994;orf19.2369.1;orf19.3663;orf19.2199;orf19.3406;orf19.2272;orf19.7523;orf19.409;orf19.681;orf19.4679;orf19.2454;orf19.4726;orf19.1114;orf19.431;orf19.6033	15
2758	GO:0043328 protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	orf19.897;orf19.2031;orf19.374;orf19.2340;orf19.7193;orf19.4339;orf19.3006;orf19.945;orf19.6296;orf19.6031;orf19.6040;orf19.212;orf19.3942;orf19.795;orf19.4253;orf19.1670;orf19.3233;orf19.2703;orf19.7258	19
2759	GO:0043335 protein unfolding	orf19.1896;orf19.3573;orf19.882;orf19.6460;orf19.6387	5
2760	GO:0043388 positive regulation of DNA binding	orf19.3059;orf19.5320;orf19.4000;orf19.7046;orf19.1434;orf19.895;orf19.4136	7
2761	GO:0043392 negative regulation of DNA binding	orf19.5166;orf19.5749;orf19.4208;orf19.2727;orf19.3561;orf19.3856;orf19.2395;orf19.7489.3;orf19.1802;orf19.4623.3	10
2762	GO:0043393 regulation of protein binding	orf19.953.1;orf19.4927;orf19.5544;orf19.3856;orf19.6285;orf19.2268;orf19.1223;orf19.5410;orf19.6414.3;orf19.5076;orf19.4824	11
2766	GO:0043408 regulation of MAPK cascade	orf19.5627;orf19.2886;orf19.5377;orf19.1490;orf19.5241;orf19.896;orf19.132;orf19.2127;orf19.5031;orf19.4866;orf19.4890;orf19.5531;orf19.4785;orf19.6968;orf19.6588;orf19.4242;orf19.7610;orf19.4824	18
2767	GO:0043409 negative regulation of MAPK cascade	orf19.5627;orf19.2886;orf19.2127;orf19.4866;orf19.4785;orf19.6968;orf19.6588;orf19.7610	8
2768	GO:0043410 positive regulation of MAPK cascade	orf19.5377;orf19.1490;orf19.5241;orf19.896;orf19.132;orf19.5031;orf19.5531;orf19.4242	8
2770	GO:0043413 macromolecule glycosylation	orf19.5994;orf19.3672;orf19.4410;orf19.1011;orf19.4466;orf19.7391;orf19.1478;orf19.3228;orf19.1092;orf19.2444;orf19.1738;orf19.1203.1;orf19.753;orf19.4600.1;orf19.3682;orf19.6337;orf19.1618;orf19.4900;orf19.6787;orf19.851;orf19.6988;orf19.2649;orf19.6996;orf19.3536;orf19.1427;orf19.4579;orf19.6190;orf19.3222;orf19.3060;orf19.4475;orf19.6976;orf19.290;orf19.5658;orf19.7383;orf19.3876;orf19.4985;orf19.1659;orf19.6971;orf19.30;orf19.6692;orf19.6313;orf19.5931;orf19.1801;orf19.5065;orf19.1232;orf19.3675;orf19.4442;orf19.4719;orf19.1843;orf19.4494;orf19.2937;orf19.1746;orf19.6029;orf19.2200;orf19.4560;orf19.1761;orf19.516;orf19.3744;orf19.6738;orf19.7549;orf19.656;orf19.6642;orf19.6812;orf19.4028;orf19.4491;orf19.6416;orf19.1665;orf19.1010;orf19.1663;orf19.1390;orf19.3802;orf19.7089;orf19.5073;orf19.849;orf19.2347;orf19.3994;orf19.1995;orf19.3996;orf19.3282;orf19.3631;orf19.5171;orf19.4109;orf19.4203;orf19.2927;orf19.2298;orf19.2419;orf19.3267;orf19.4874;orf19.1096;orf19.4316;orf19.3225;orf19.2187;orf19.5236;orf19.3803;orf19.3804;orf19.7394;orf19.3394;orf19.5963;orf19.2915;orf19.3207;orf19.3622;orf19.5164;orf19.4064;orf19.4865;orf19.7426;orf19.3255;orf19.120;orf19.5244;orf19.4181;orf19.3468;orf19.4279;orf19.6782	112
2771	GO:0043414 macromolecule methylation	orf19.1755;orf19.1059;orf19.3018;orf19.3665;orf19.1305;orf19.1972;orf19.7221;orf19.3466;orf19.7460;orf19.4760;orf19.4044;orf19.3303;orf19.5783;orf19.6751;orf19.2408;orf19.2604;orf19.6795;orf19.1900;orf19.5388;orf19.4007;orf19.25;orf19.7369;orf19.3265;orf19.6378;orf19.7326;orf19.920;orf19.7601;orf19.2575;orf19.5358;orf19.4375;orf19.6847;orf19.3899;orf19.7366;orf19.7069;orf19.2066;orf19.3798;orf19.1966;orf19.3676;orf19.7402;orf19.500;orf19.5987;orf19.7223;orf19.5808;orf19.2442;orf19.3291;orf19.6477;orf19.2143;orf19.7612;orf19.7116;orf19.501;orf19.3457;orf19.5050;orf19.3630;orf19.518;orf19.499;orf19.2654;orf19.1476;orf19.3585;orf19.5365;orf19.2476;orf19.7291;orf19.5038;orf19.3138;orf19.331;orf19.5010;orf19.3836;orf19.5196;orf19.1557;orf19.6377;orf19.665;orf19.3964;orf19.2790;orf19.6009;orf19.1854;orf19.119;orf19.1767;orf19.3582;orf19.592;orf19.5764;orf19.76;orf19.120	81
2775	GO:0043433 negative regulation of DNA-binding transcription factor activity	orf19.7417;orf19.3593;orf19.7398.1;orf19.4012;orf19.2005;orf19.155;orf19.6846	7
